ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,0,67,2,124670,1,2
100000002,1,1,22,1,150773,1,2
100000003,0,0,49,1,89210,0,0
100000004,0,0,45,1,171565,1,1
100000005,0,0,53,1,149031,1,1
100000006,0,0,35,1,144848,0,0
100000007,0,0,53,1,156495,1,1
100000008,0,0,35,1,193621,2,1
100000009,0,1,61,2,151591,0,0
100000010,0,1,28,1,174646,2,0
100000011,1,1,25,1,108469,1,0
100000012,1,1,24,1,127596,1,0
100000013,1,1,22,1,108687,1,2
100000014,0,0,60,2,89374,0,0
100000015,1,1,28,1,102899,1,1
100000016,1,1,32,1,88428,0,0
100000017,0,0,53,1,125550,1,0
100000018,0,0,25,0,157434,1,2

